metric	metric_value	metric_type
abox_axiom_count	186	single_value
abox_axiom_count_incl	186	single_value
annotation_property_count	51	single_value
annotation_property_count_incl	51	single_value
axiom_count	6514	single_value
axiom_count_incl	6514	single_value
axiom_type_count	AnnotationAssertion 3717	map_value
axiom_type_count	AnnotationPropertyRangeOf 1	map_value
axiom_type_count	ClassAssertion 68	map_value
axiom_type_count	DataPropertyAssertion 65	map_value
axiom_type_count	DataPropertyDomain 4	map_value
axiom_type_count	DataPropertyRange 1	map_value
axiom_type_count	Declaration 1026	map_value
axiom_type_count	DisjointClasses 27	map_value
axiom_type_count	DisjointUnion 4	map_value
axiom_type_count	EquivalentClasses 201	map_value
axiom_type_count	FunctionalObjectProperty 3	map_value
axiom_type_count	InverseFunctionalObjectProperty 2	map_value
axiom_type_count	InverseObjectProperties 33	map_value
axiom_type_count	IrrefexiveObjectProperty 1	map_value
axiom_type_count	ObjectPropertyAssertion 53	map_value
axiom_type_count	ObjectPropertyDomain 42	map_value
axiom_type_count	ObjectPropertyRange 38	map_value
axiom_type_count	Rule 4	map_value
axiom_type_count	SubClassOf 1146	map_value
axiom_type_count	SubDataPropertyOf 1	map_value
axiom_type_count	SubObjectPropertyOf 50	map_value
axiom_type_count	SubPropertyChainOf 9	map_value
axiom_type_count	SymmetricObjectProperty 4	map_value
axiom_type_count	TransitiveObjectProperty 14	map_value
axiom_type_count_incl	AnnotationAssertion 3717	map_value
axiom_type_count_incl	AnnotationPropertyRangeOf 1	map_value
axiom_type_count_incl	ClassAssertion 68	map_value
axiom_type_count_incl	DataPropertyAssertion 65	map_value
axiom_type_count_incl	DataPropertyDomain 4	map_value
axiom_type_count_incl	DataPropertyRange 1	map_value
axiom_type_count_incl	Declaration 1026	map_value
axiom_type_count_incl	DisjointClasses 27	map_value
axiom_type_count_incl	DisjointUnion 4	map_value
axiom_type_count_incl	EquivalentClasses 201	map_value
axiom_type_count_incl	FunctionalObjectProperty 3	map_value
axiom_type_count_incl	InverseFunctionalObjectProperty 2	map_value
axiom_type_count_incl	InverseObjectProperties 33	map_value
axiom_type_count_incl	IrrefexiveObjectProperty 1	map_value
axiom_type_count_incl	ObjectPropertyAssertion 53	map_value
axiom_type_count_incl	ObjectPropertyDomain 42	map_value
axiom_type_count_incl	ObjectPropertyRange 38	map_value
axiom_type_count_incl	Rule 4	map_value
axiom_type_count_incl	SubClassOf 1146	map_value
axiom_type_count_incl	SubDataPropertyOf 1	map_value
axiom_type_count_incl	SubObjectPropertyOf 50	map_value
axiom_type_count_incl	SubPropertyChainOf 9	map_value
axiom_type_count_incl	SymmetricObjectProperty 4	map_value
axiom_type_count_incl	TransitiveObjectProperty 14	map_value
