metric	metric_value	metric_type
abox_axiom_count	0	single_value
abox_axiom_count_incl	0	single_value
annotation_property_count	14	single_value
annotation_property_count_incl	14	single_value
axiom_count	718	single_value
axiom_count_incl	718	single_value
class_count	159	single_value
class_count_incl	159	single_value
dataproperty_count	0	single_value
dataproperty_count_incl	0	single_value
datatypes_count	2	single_value
datatypes_count_incl	2	single_value
individual_count	3	single_value
individual_count_incl	3	single_value
logical_axiom_count	60	single_value
logical_axiom_count_incl	60	single_value
obj_property_count	4	single_value
obj_property_count_incl	4	single_value
ontology_anno_count	0	single_value
ontology_iri	https://w3id.org/pmd/noes/	single_value
ontology_version_iri	no.iri	single_value
owl2	true	single_value
owl2_dl	false	single_value
owl2_el	false	single_value
owl2_ql	false	single_value
owl2_rl	false	single_value
owl2dl_profile_violation	UseOfUndeclaredAnnotationProperty 221	map_value
rbox_axiom_count	8	single_value
rbox_axiom_count_incl	8	single_value
rdfs	false	single_value
rule_count	0	single_value
rule_count_incl	0	single_value
signature_entity_count	182	single_value
signature_entity_count_incl	182	single_value
tbox_axiom_count	52	single_value
tbox_axiom_count_incl	52	single_value
tboxrbox_axiom_count	60	single_value
tboxrbox_axiom_count_incl	60	single_value
