grain_id,phi1,Phi,phi2,x,y,area,diameter,misorientation_cube_deg,misorientation_goss_deg,misorientation_rotated_cube_deg,misorientation_rotated_goss_deg,misorientation_alpha_deg,misorientation_gamma_deg,misorientation_eta_deg,misorientation_lambda_deg,is_relevant,nearest_component,angle_to_nearest_component_deg
1,163.633,14.317,185.96,4.09,2.727,99.0,11.23,17.6838,32.6487,37.3548,45.5201,34.4367,42.5544,10.6914,14.317,True,Other/Random,17.68
2,327.198,50.406,44.42,28.04,6.583,648.0,28.72,51.6422,32.9383,57.5606,42.0807,12.3775,10.5981,32.6477,49.6309,True,Other/Random,32.94
3,204.891,50.42,126.88,74.1,2.2,270.0,18.54,57.3302,40.7902,52.3071,45.6514,13.4525,16.5035,40.6322,45.6418,True,Other/Random,40.79
4,52.316,35.578,278.13,94.5,0.0,18.0,4.79,45.9441,52.695,38.6865,33.2067,23.2255,19.8218,43.644,35.578,False,Other/Random,33.21
5,344.395,22.665,31.33,102.0,1.5,54.0,8.29,27.5271,29.8208,36.871,43.9653,33.1442,36.207,17.8669,22.665,False,Other/Random,27.53
6,5.582,34.521,15.64,128.92,15.565,1386.0,42.01,40.3526,22.7846,41.7113,57.4015,27.7519,33.576,20.4787,34.521,False,Other/Random,22.78
7,16.221,23.702,354.51,193.1,40.047,7659.0,98.75,25.9864,24.4034,41.4639,47.581,33.8716,35.2814,11.4039,23.702,True,Other/Random,24.4
8,129.517,41.809,224.39,249.0,4.0,297.0,19.45,42.231,34.8127,56.5108,31.5163,20.6575,13.5497,31.0252,41.809,True,Other/Random,31.52
9,303.108,48.137,60.51,273.16,35.987,4239.0,73.47,48.2647,44.8997,54.5116,24.8961,6.9835,11.3844,40.9338,48.137,True,Other/Random,24.9
10,354.364,15.874,22.74,312.63,8.704,639.0,28.52,23.2949,34.0857,32.0182,46.7848,29.2611,43.2812,17.3838,15.874,False,Other/Random,23.29
11,2.126,23.07,12.05,417.36,38.544,14980.0,138.09,27.027,25.9139,38.3329,50.3748,32.0715,40.0349,14.0304,23.07,True,Other/Random,25.91
12,10.414,43.469,308.08,366.49,6.07,387.0,22.2,59.3983,45.0317,43.6024,47.4779,27.7646,28.1811,44.7761,43.469,False,Other/Random,43.6
13,10.781,35.449,310.49,535.07,10.554,504.0,25.33,52.0389,42.8215,35.9819,54.5673,28.6644,30.469,41.0843,35.449,False,Other/Random,35.98
14,306.464,49.633,48.14,600.84,32.701,6588.0,91.59,49.907,40.2087,60.2172,31.619,17.0589,8.4494,38.3219,49.633,True,Other/Random,31.62
15,336.787,33.324,2.54,649.74,8.163,387.0,22.2,39.0605,24.2509,41.0544,52.9378,23.9481,25.9808,21.1342,33.324,False,Other/Random,24.25
16,159.023,32.683,189.0,676.91,13.86,1089.0,37.24,34.7522,19.3836,46.139,49.1093,31.9473,27.296,14.2189,32.683,True,Other/Random,19.38
17,159.682,45.118,188.81,729.71,18.799,3042.0,62.23,46.4882,15.3999,53.244,55.2979,31.4837,21.0784,15.3681,45.118,False,Other/Random,15.4
18,212.01,52.329,146.65,787.54,9.943,630.0,28.32,52.3449,27.575,54.1653,46.0696,20.8558,10.7104,27.5749,47.8414,True,Other/Random,27.57
19,350.443,8.334,339.47,805.5,0.0,36.0,6.77,31.1942,46.8623,17.0722,53.6174,15.3839,48.1126,30.0167,8.334,True,Other/Random,17.07
20,32.632,45.207,323.75,835.95,9.99,900.0,33.85,45.344,26.2936,60.5443,41.3256,20.6416,13.405,25.3379,45.207,True,Other/Random,26.29
21,138.869,39.602,199.61,884.03,10.624,1197.0,39.04,44.8647,30.0484,45.7974,46.2901,22.72,15.3918,28.4039,39.602,False,Other/Random,30.05
22,18.099,9.927,327.28,937.96,20.376,2466.0,56.03,17.6574,38.9317,31.9235,44.0134,31.187,46.0338,15.1812,9.927,True,Other/Random,17.66
23,155.375,37.146,200.66,985.06,10.437,1071.0,36.93,37.3496,17.9671,54.8069,45.5111,33.3871,22.7208,14.5845,37.146,True,Other/Random,17.97
24,104.607,21.091,261.61,1028.61,23.744,2853.0,60.27,21.9783,45.8839,43.9522,25.3813,24.5871,37.6166,21.5671,21.091,False,Other/Random,21.98
25,193.407,37.861,144.34,1081.81,15.619,1701.0,46.54,43.7088,27.9386,43.953,49.2557,27.4611,28.0337,26.2248,37.861,False,Other/Random,27.94
26,161.404,26.739,208.71,1162.53,14.26,2115.0,51.89,28.5553,24.9465,43.7001,42.8665,33.1371,32.3653,14.5157,26.739,True,Other/Random,24.95
