grain_id,phi1,Phi,phi2,x,y,area,diameter,hkl,uvw,nearest_component,angle_to_nearest_component_deg,hkl_int,uvw_int
1,163.633,14.317,185.96,4.09,2.727,99.0,11.23,(-9-4-36),[1-50],Other/Random,17.68,"-9,-4,-36","1,-5,0"
2,327.198,50.406,44.42,28.04,6.583,648.0,28.72,(858),[5-80],Other/Random,32.94,"8,5,8","5,-8,0"
3,204.891,50.42,126.88,74.1,2.2,270.0,18.54,(-8-4-9),[-283510],Other/Random,40.79,"-8,-4,-9","-28,35,10"
4,52.316,35.578,278.13,94.5,0.0,18.0,4.79,(-36-28-63),[-10-58],Other/Random,33.21,"-36,-28,-63","-10,-5,8"
5,344.395,22.665,31.33,102.0,1.5,54.0,8.29,(-18-5-45),[520-4],Other/Random,27.53,"-18,-5,-45","5,20,-4"
6,5.582,34.521,15.64,128.92,15.565,1386.0,42.01,(619),[-261],Other/Random,22.78,"6,1,9","-2,6,1"
7,16.221,23.702,354.51,193.1,40.047,7659.0,98.75,(24756),[-150],Other/Random,24.4,"24,7,56","-1,5,0"
8,129.517,41.809,224.39,249.0,4.0,297.0,19.45,(141221),[36-9-20],Other/Random,31.52,"14,12,21","36,-9,-20"
9,303.108,48.137,60.51,273.16,35.987,4239.0,73.47,(402745),[-56748],Other/Random,24.9,"40,27,45","-56,7,48"
10,354.364,15.874,22.74,312.63,8.704,639.0,28.52,(-20-7),[1863-7],Other/Random,23.29,"-2,0,-7","18,63,-7"
11,2.126,23.07,12.05,417.36,38.544,14980.0,138.09,(307),[-291],Other/Random,25.91,"3,0,7","-2,9,1"
12,10.414,43.469,308.08,366.49,6.07,387.0,22.2,(16318),[58-6],Other/Random,43.6,"16,3,18","5,8,-6"
13,10.781,35.449,310.49,535.07,10.554,504.0,25.33,(40756),[1421-12],Other/Random,35.98,"40,7,56","14,21,-12"
14,306.464,49.633,48.14,600.84,32.701,6588.0,91.59,(757),[-21715],Other/Random,31.62,"7,5,7","-21,7,15"
15,336.787,33.324,2.54,649.74,8.163,387.0,22.2,(-12-5-20),[-380],Other/Random,24.25,"-12,-5,-20","-3,8,0"
16,159.023,32.683,189.0,676.91,13.86,1089.0,37.24,(-27-10-45),[9-364],Other/Random,19.38,"-27,-10,-45","9,-36,4"
17,159.682,45.118,188.81,729.71,18.799,3042.0,62.23,(-8-3-9),[9-364],Other/Random,15.4,"-8,-3,-9","9,-36,4"
18,212.01,52.329,146.65,787.54,9.943,630.0,28.32,(-64-45-72),[-36-1],Other/Random,27.57,"-64,-45,-72","-3,6,-1"
19,350.443,8.334,339.47,805.5,0.0,36.0,6.77,(-10-7),[-36637],Other/Random,17.07,"-1,0,-7","-36,63,7"
20,32.632,45.207,323.75,835.95,9.99,900.0,33.85,(543563),[-19-4],Other/Random,26.29,"54,35,63","-1,9,-4"
21,138.869,39.602,199.61,884.03,10.624,1197.0,39.04,(-45-40-72),[2-41],Other/Random,30.05,"-45,-40,-72","2,-4,1"
22,18.099,9.927,327.28,937.96,20.376,2466.0,56.03,(106),[936-4],Other/Random,17.66,"1,0,6","9,36,-4"
23,155.375,37.146,200.66,985.06,10.437,1071.0,36.93,(-2-1-3),[9-6314],Other/Random,17.97,"-2,-1,-3","9,-63,14"
24,104.607,21.091,261.61,1028.61,23.744,2853.0,60.27,(27872),[728-27],Other/Random,21.98,"27,8,72","72,8,-27"
25,193.407,37.861,144.34,1081.81,15.619,1701.0,46.54,(9212),[-10-3514],Other/Random,27.94,"9,2,12","-10,-35,14"
26,161.404,26.739,208.71,1162.53,14.26,2115.0,51.89,(-3-1-6),[-9-7216],Other/Random,24.95,"-3,-1,-6","-9,-72,16"
27,86.04,3.587,285.7,1218.52,15.284,1521.0,44.01,(001),[100],Cube {001}<100>,12.27,"0,0,1","1,0,0"
28,211.294,9.046,162.92,1270.29,17.924,2493.0,56.34,(9763),[1-40],Other/Random,16.84,"9,7,63","1,-4,0"
29,119.308,18.339,238.99,1342.58,17.028,2529.0,56.75,(12742),[70-2],Other/Random,18.42,"12,7,42","7,0,-2"
30,346.685,2.52,22.82,1406.45,10.461,1035.0,36.3,(001),[100],Cube {001}<100>,9.83,"0,0,1","1,0,0"
31,160.304,14.271,216.04,1457.41,12.441,1593.0,45.04,(-9-4-36),[-2-71],Other/Random,21.67,"-9,-4,-36","-2,-7,1"
32,173.101,20.209,199.63,1505.69,9.809,1035.0,36.3,(-30-8),[-8-405],Other/Random,23.85,"-3,0,-8","-8,-40,5"
33,135.144,20.458,199.37,1548.5,59.991,8613.0,104.72,(-1-1-4),[4-81],Other/Random,28.2,"-1,-1,-4","4,-8,1"
34,346.747,31.952,39.75,1574.9,2.4,270.0,18.54,(-21-5-35),[25-2],Other/Random,33.0,"-21,-5,-35","2,5,-2"
35,223.192,15.223,105.34,1634.83,8.134,1278.0,40.34,(115),[-21-3510],Other/Random,20.34,"1,1,5","-21,-35,10"
