grain_id,phi1,Phi,phi2,x,y,area,diameter,hkl,uvw,nearest_component,angle_to_nearest_component_deg,hkl_int,uvw_int,on_Lambda_fiber,Lambda_fiber_deviation_deg,on_Gamma_fiber,Gamma_fiber_deviation_deg,on_Eta_fiber,Eta_fiber_deviation_deg,on_Alpha_fiber,Alpha_fiber_deviation_deg
1,163.633,14.317,185.96,4.09,2.727,99.0,11.23,(001),[100],Other/Random,17.68,"0,0,1","1,0,0",True,14.32,False,42.55,True,10.69,False,34.44
2,327.198,50.406,44.42,28.04,6.583,648.0,28.72,(-1-11),[101],Other/Random,32.94,"-1,-1,1","1,0,1",False,49.63,True,10.6,False,32.65,True,12.38
3,204.891,50.42,126.88,74.1,2.2,270.0,18.54,(-8-4-9),[101],Other/Random,40.79,"-8,-4,-9","1,0,1",False,45.64,False,16.5,False,40.63,True,13.45
4,52.316,35.578,278.13,94.5,0.0,18.0,4.79,(-36-28-63),[-10-58],Other/Random,33.21,"-36,-28,-63","-10,-5,8",False,35.58,False,19.82,False,43.64,False,23.23
5,344.395,22.665,31.33,102.0,1.5,54.0,8.29,(-18-5-45),[520-4],Other/Random,27.53,"-18,-5,-45","5,20,-4",False,22.66,False,36.21,False,17.87,False,33.14
6,5.582,34.521,15.64,128.92,15.565,1386.0,42.01,(619),[-261],Other/Random,22.78,"6,1,9","-2,6,1",False,34.52,False,33.58,False,20.48,False,27.75
7,16.221,23.702,354.51,193.1,40.047,7659.0,98.75,(24756),[100],Other/Random,24.4,"24,7,56","1,0,0",False,23.7,False,35.28,True,11.4,False,33.87
8,129.517,41.809,224.39,249.0,4.0,297.0,19.45,(111),[36-9-20],Other/Random,31.52,"1,1,1","36,-9,-20",False,41.81,True,13.55,False,31.03,False,20.66
9,303.108,48.137,60.51,273.16,35.987,4239.0,73.47,(-1-11),[101],Other/Random,24.9,"-1,-1,1","1,0,1",False,48.14,True,11.38,False,40.93,True,6.98
10,354.364,15.874,22.74,312.63,8.704,639.0,28.52,(-20-7),[1863-7],Other/Random,23.29,"-2,0,-7","18,63,-7",False,15.87,False,43.28,False,17.38,False,29.26
11,2.126,23.07,12.05,417.36,38.544,14980.0,138.09,(307),[100],Other/Random,25.91,"3,0,7","1,0,0",False,23.07,False,40.03,True,14.03,False,32.07
12,10.414,43.469,308.08,366.49,6.07,387.0,22.2,(16318),[58-6],Other/Random,43.6,"16,3,18","5,8,-6",False,43.47,False,28.18,False,44.78,False,27.76
13,10.781,35.449,310.49,535.07,10.554,504.0,25.33,(40756),[1421-12],Other/Random,35.98,"40,7,56","14,21,-12",False,35.45,False,30.47,False,41.08,False,28.66
14,306.464,49.633,48.14,600.84,32.701,6588.0,91.59,(-1-11),[-21715],Other/Random,31.62,"-1,-1,1","-21,7,15",False,49.63,True,8.45,False,38.32,False,17.06
15,336.787,33.324,2.54,649.74,8.163,387.0,22.2,(-12-5-20),[-380],Other/Random,24.25,"-12,-5,-20","-3,8,0",False,33.32,False,25.98,False,21.13,False,23.95
16,159.023,32.683,189.0,676.91,13.86,1089.0,37.24,(-27-10-45),[100],Other/Random,19.38,"-27,-10,-45","1,0,0",False,32.68,False,27.3,True,14.22,False,31.95
17,159.682,45.118,188.81,729.71,18.799,3042.0,62.23,(-8-3-9),[9-364],Other/Random,15.4,"-8,-3,-9","9,-36,4",False,45.12,False,21.08,False,15.37,False,31.48
18,212.01,52.329,146.65,787.54,9.943,630.0,28.32,(-111),[-36-1],Other/Random,27.57,"-1,1,1","-3,6,-1",False,47.84,True,10.71,False,27.57,False,20.86
19,350.443,8.334,339.47,805.5,0.0,36.0,6.77,(001),[-36637],Other/Random,17.07,"0,0,1","-36,63,7",True,8.33,False,48.11,False,30.02,False,15.38
20,32.632,45.207,323.75,835.95,9.99,900.0,33.85,(1-11),[-19-4],Other/Random,26.29,"1,-1,1","-1,9,-4",False,45.21,True,13.41,False,25.34,False,20.64
21,138.869,39.602,199.61,884.03,10.624,1197.0,39.04,(-45-40-72),[2-41],Other/Random,30.05,"-45,-40,-72","2,-4,1",False,39.6,False,15.39,False,28.4,False,22.72
22,18.099,9.927,327.28,937.96,20.376,2466.0,56.03,(001),[936-4],Other/Random,17.66,"0,0,1","9,36,-4",True,9.93,False,46.03,False,15.18,False,31.19
23,155.375,37.146,200.66,985.06,10.437,1071.0,36.93,(-2-1-3),[100],Other/Random,17.97,"-2,-1,-3","1,0,0",False,37.15,False,22.72,True,14.58,False,33.39
24,104.607,21.091,261.61,1028.61,23.744,2853.0,60.27,(27872),[728-27],Other/Random,21.98,"27,8,72","72,8,-27",False,21.09,False,37.62,False,21.57,False,24.59
25,193.407,37.861,144.34,1081.81,15.619,1701.0,46.54,(9212),[-10-3514],Other/Random,27.94,"9,2,12","-10,-35,14",False,37.86,False,28.03,False,26.22,False,27.46
26,161.404,26.739,208.71,1162.53,14.26,2115.0,51.89,(-3-1-6),[100],Other/Random,24.95,"-3,-1,-6","1,0,0",False,26.74,False,32.37,True,14.52,False,33.14
27,86.04,3.587,285.7,1218.52,15.284,1521.0,44.01,(001),[100],Cube {001}<100>,12.27,"0,0,1","1,0,0",True,3.59,False,52.07,True,12.26,False,33.39
28,211.294,9.046,162.92,1270.29,17.924,2493.0,56.34,(001),[100],Other/Random,16.84,"0,0,1","1,0,0",True,9.05,False,45.98,True,14.65,False,30.69
29,119.308,18.339,238.99,1342.58,17.028,2529.0,56.75,(12742),[70-2],Other/Random,18.42,"12,7,42","7,0,-2",False,18.34,False,37.31,False,15.93,False,29.47
30,346.685,2.52,22.82,1406.45,10.461,1035.0,36.3,(001),[100],Cube {001}<100>,9.83,"0,0,1","1,0,0",True,2.52,False,52.6,True,9.53,False,35.53
31,160.304,14.271,216.04,1457.41,12.441,1593.0,45.04,(001),[-2-71],Other/Random,21.67,"0,0,1","-2,-7,1",True,14.27,False,42.14,False,17.55,False,30.56
32,173.101,20.209,199.63,1505.69,9.809,1035.0,36.3,(-30-8),[100],Other/Random,23.85,"-3,0,-8","1,0,0",False,20.21,False,40.2,True,13.36,False,33.98
33,135.144,20.458,199.37,1548.5,59.991,8613.0,104.72,(-1-1-4),[4-81],Other/Random,28.2,"-1,-1,-4","4,-8,1",False,20.46,False,34.28,False,27.38,False,19.5
34,346.747,31.952,39.75,1574.9,2.4,270.0,18.54,(-21-5-35),[25-2],Other/Random,33.0,"-21,-5,-35","2,5,-2",False,31.95,False,30.98,False,29.22,False,30.01
35,223.192,15.223,105.34,1634.83,8.134,1278.0,40.34,(115),[-21-3510],Other/Random,20.34,"1,1,5","-21,-35,10",False,15.22,False,39.52,False,33.92,False,20.21
36,65.957,45.252,320.62,1695.6,38.876,5877.0,86.5,(-40-18-45),[-564035],Other/Random,37.47,"-40,-18,-45","-56,40,35",False,45.25,False,18.56,False,43.71,False,28.17
